ISO	WALS	AUTOTYP	Glottolog	Name.ethn	Name.wals	Name.autotyp	Name.glottlog	Latitude	Longitude	UULID
			agho1238				Agholo	NA	NA	[i-][w-][a-][g-agho1238]
			agii1244				Agi {Moru}	NA	NA	[i-][w-][a-][g-agii1244]
			agob1245				Agob	NA	NA	[i-][w-][a-][g-agob1245]
			agoi1244				Agoi {Gen}	NA	NA	[i-][w-][a-][g-agoi1244]
			agoi1247				Agoi-Efom	NA	NA	[i-][w-][a-][g-agoi1247]
			agon1238				Agona	NA	NA	[i-][w-][a-][g-agon1238]
			agra1238				Agrab	NA	NA	[i-][w-][a-][g-agra1238]
			agua1254				Aguarico	NA	NA	[i-][w-][a-][g-agua1254]
			aguf1237				Agufi	NA	NA	[i-][w-][a-][g-aguf1237]
			agul1243				Agulis	NA	NA	[i-][w-][a-][g-agul1243]
			agul1244				Central Agul	NA	NA	[i-][w-][a-][g-agul1244]
			agul1245				Agulis-Meghri	NA	NA	[i-][w-][a-][g-agul1245]
			aguo1238				Aguok	NA	NA	[i-][w-][a-][g-aguo1238]
			aguu1241				Agu	NA	NA	[i-][w-][a-][g-aguu1241]
			aguu1242				Agu {Ewe}	NA	NA	[i-][w-][a-][g-aguu1242]
			agwa1246				Agwatashi	NA	NA	[i-][w-][a-][g-agwa1246]
			ahaf1238				Ahafo	NA	NA	[i-][w-][a-][g-ahaf1238]
			ahea1235				Aheave	NA	NA	[i-][w-][a-][g-ahea1235]
			ahei1238				Aheima	NA	NA	[i-][w-][a-][g-ahei1238]
			ahir1242				Ahiri	NA	NA	[i-][w-][a-][g-ahir1242]
			ahua1238				Ahuatempan Popoloca	NA	NA	[i-][w-][a-][g-ahua1238]
			ahue1234				Ahuelican	NA	NA	[i-][w-][a-][g-ahue1234]
			ahva1234				Ahvazi	NA	NA	[i-][w-][a-][g-ahva1234]
			ahwa1239				Ahwaz	NA	NA	[i-][w-][a-][g-ahwa1239]
			aial1237				Ai`alu	NA	NA	[i-][w-][a-][g-aial1237]
			aibo1237				Aibondeni	NA	NA	[i-][w-][a-][g-aibo1237]
			aiew1238				Aiewomba	NA	NA	[i-][w-][a-][g-aiew1238]
			aigo1239				Aigon	NA	NA	[i-][w-][a-][g-aigo1239]
			aigu1239				Aigun	NA	NA	[i-][w-][a-][g-aigu1239]
			aiko1237				Aikoa	NA	NA	[i-][w-][a-][g-aiko1237]
			aima1242				Aimara	NA	NA	[i-][w-][a-][g-aima1242]
			aimo1245				Aimoli	NA	NA	[i-][w-][a-][g-aimo1245]
			aine1237				Ane Kuruba	NA	NA	[i-][w-][a-][g-aine1237]
			aird1238				Aird Hills	NA	NA	[i-][w-][a-][g-aird1238]
			airm1240				Air Mata	NA	NA	[i-][w-][a-][g-airm1240]
			airm1241				Airmadidi	NA	NA	[i-][w-][a-][g-airm1241]
			airr1238				Tarbun	NA	NA	[i-][w-][a-][g-airr1238]
			airr1242				Air {Berber}	NA	NA	[i-][w-][a-][g-airr1242]
			airy1239				Airym	NA	NA	[i-][w-][a-][g-airy1239]
			aita1238				Aita	NA	NA	[i-][w-][a-][g-aita1238]
			aitu1237				Aitutaki	NA	NA	[i-][w-][a-][g-aitu1237]
			aiya1239				Aiyangar	NA	NA	[i-][w-][a-][g-aiya1239]
			aiya1240				Aiyar	NA	NA	[i-][w-][a-][g-aiya1240]
			aiye1241				Aiyegunle	NA	NA	[i-][w-][a-][g-aiye1241]
			aiye1242				||`Aiye	NA	NA	[i-][w-][a-][g-aiye1242]
			aizu1241				Aizu	NA	NA	[i-][w-][a-][g-aizu1241]
			ajam1240				Ajam	NA	NA	[i-][w-][a-][g-ajam1240]
			ajee1238				Aje	NA	NA	[i-][w-][a-][g-ajee1238]
			ajir1238				Ajiri of Hazara	NA	NA	[i-][w-][a-][g-ajir1238]
			ajiw1238				Ajiw	NA	NA	[i-][w-][a-][g-ajiw1238]
			ajra1238				Ajra	NA	NA	[i-][w-][a-][g-ajra1238]
			ajug1238				Ajugu	NA	NA	[i-][w-][a-][g-ajug1238]
			ajuh1237				Ajuh	NA	NA	[i-][w-][a-][g-ajuh1237]
			ajum1239				Ajumba	NA	NA	[i-][w-][a-][g-ajum1239]
			akab1250				Akabafa	NA	NA	[i-][w-][a-][g-akab1250]
			akal1238				Aka Lel	NA	NA	[i-][w-][a-][g-akal1238]
			akam1238				Akamkpa-Ejagham	NA	NA	[i-][w-][a-][g-akam1238]
			akan1248				Nuclear Nanai	NA	NA	[i-][w-][a-][g-akan1248]
			akar1244				Akarre	NA	NA	[i-][w-][a-][g-akar1244]
			akas1241				Akassa	NA	NA	[i-][w-][a-][g-akas1241]
			akaw1241				Akawaio	NA	NA	[i-][w-][a-][g-akaw1241]
			akel1235				Akelel	NA	NA	[i-][w-][a-][g-akel1235]
			aker1238				Akerre	NA	NA	[i-][w-][a-][g-aker1238]
			akhm1237				Akhmimic	NA	NA	[i-][w-][a-][g-akhm1237]
			akho1238				Akhoe	NA	NA	[i-][w-][a-][g-akho1238]
			akht1238				Akhty	NA	NA	[i-][w-][a-][g-akht1238]
			akib1234				Akiblik	NA	NA	[i-][w-][a-][g-akib1234]
			akii1238				Aki	NA	NA	[i-][w-][a-][g-akii1238]
			akim1239				Akimel O`odham	NA	NA	[i-][w-][a-][g-akim1239]
			akit1240				Akita	NA	NA	[i-][w-][a-][g-akit1240]
			akla1241				Kailibo Aklanon	11.5543	122.354	[i-][w-][a-][g-akla1241]
			aknn1239				Akn	NA	NA	[i-][w-][a-][g-aknn1239]
			akon1238				Southeast Yoruba	NA	NA	[i-][w-][a-][g-akon1238]
			akoo1247				Ako	NA	NA	[i-][w-][a-][g-akoo1247]
			akoo1249				Ako {Atlantic-Congo}	NA	NA	[i-][w-][a-][g-akoo1249]
			akoo1250				Ako {Indonesia}	NA	NA	[i-][w-][a-][g-akoo1250]
			akpa1243				Akpafu	NA	NA	[i-][w-][a-][g-akpa1243]
			akpe1247				Akpe	NA	NA	[i-][w-][a-][g-akpe1247]
			akpo1242				Akpo-Mgbu-Tolu	NA	NA	[i-][w-][a-][g-akpo1242]
			akpo1243				Akpondu	9.235232	8.545454	[i-][w-][a-][g-akpo1243]
			akre1239				Akre	NA	NA	[i-][w-][a-][g-akre1239]
			aksa1237				Wellington Kawesqar	NA	NA	[i-][w-][a-][g-aksa1237]
			akua1239				Akuapem	NA	NA	[i-][w-][a-][g-akua1239]
			akun1239				Akunnu	NA	NA	[i-][w-][a-][g-akun1239]
			akus1238				Akusha	NA	NA	[i-][w-][a-][g-akus1238]
			akwa1247				Akwa {Nigeria}	NA	NA	[i-][w-][a-][g-akwa1247]
			akwa1249				Akwanga	NA	NA	[i-][w-][a-][g-akwa1249]
			akye1239				Akyem Bosome	NA	NA	[i-][w-][a-][g-akye1239]
			alab1256				Alabugat Tatar	43.59	46.66	[i-][w-][a-][g-alab1256]
			alac1239				Alacalufe-Austral	-54.788017	-70.140381	[i-][w-][a-][g-alac1239]
			alac1240				Alacalufe-Central	-53.435719	-71.04126	[i-][w-][a-][g-alac1240]
			alad1239				Alada	NA	NA	[i-][w-][a-][g-alad1239]
			alag1243				Alag-Bako	NA	NA	[i-][w-][a-][g-alag1243]
			alag1249				Alaguilac	NA	NA	[i-][w-][a-][g-alag1249]
			alak1252				Alakong	NA	NA	[i-][w-][a-][g-alak1252]
			alak1254				Alakaman	NA	NA	[i-][w-][a-][g-alak1254]
			alan1247				Åland Islands Swedish	60.2151	19.9422	[i-][w-][a-][g-alan1247]
			alan1248				Alangua	NA	NA	[i-][w-][a-][g-alan1248]
			alan1250				Alango	NA	NA	[i-][w-][a-][g-alan1250]
			alar1239				Alar	NA	NA	[i-][w-][a-][g-alar1239]
			alas1253				Alasai	NA	NA	[i-][w-][a-][g-alas1253]
			alas1254				Alas	NA	NA	[i-][w-][a-][g-alas1254]
			alas1256				Alasha Oirad	NA	NA	[i-][w-][a-][g-alas1256]
			alas1257				Alaskan Kutchin	NA	NA	[i-][w-][a-][g-alas1257]
			alat1245				Alatening	NA	NA	[i-][w-][a-][g-alat1245]
			alat1246				Alatesu	NA	NA	[i-][w-][a-][g-alat1246]
			alba1270				Albany River Ojibwa	NA	NA	[i-][w-][a-][g-alba1270]
			alca1237				Alcantaranon	NA	NA	[i-][w-][a-][g-alca1237]
			alca1238				Alcantara Aklanon	NA	NA	[i-][w-][a-][g-alca1238]
			alec1238				Alechuxa	NA	NA	[i-][w-][a-][g-alec1238]
			alep1237				Alepa	NA	NA	[i-][w-][a-][g-alep1237]
			alep1241				Aleppo	NA	NA	[i-][w-][a-][g-alep1241]
			alep1242				Aleppo Kurmanji	NA	NA	[i-][w-][a-][g-alep1242]
			alew1234				Alewai	NA	NA	[i-][w-][a-][g-alew1234]
			alfo1240				Alfold	NA	NA	[i-][w-][a-][g-alfo1240]
			alga1234				`Algaden	NA	NA	[i-][w-][a-][g-alga1234]
			alge1241				Alger Judeo-Arabic	NA	NA	[i-][w-][a-][g-alge1241]
			algh1238				Algherese	40.56432	8.32867	[i-][w-][a-][g-algh1238]
			algi1247				Algiers	NA	NA	[i-][w-][a-][g-algi1247]
			alha1241				Al-Hasaa	NA	NA	[i-][w-][a-][g-alha1241]
			alha1242				Al-Hasa	NA	NA	[i-][w-][a-][g-alha1242]
			alia1238				Aliap	NA	NA	[i-][w-][a-][g-alia1238]
			alif1238				Alifokpa	NA	NA	[i-][w-][a-][g-alif1238]
			alig1238				Aligarh	NA	NA	[i-][w-][a-][g-alig1238]
			alii1241				Ali {Papua New Guinea}	NA	NA	[i-][w-][a-][g-alii1241]
			alil1239				Alile	NA	NA	[i-][w-][a-][g-alil1239]
			alin1238				Alingar	NA	NA	[i-][w-][a-][g-alin1238]
			alip1234				Alipur Sign Language	16.843564	77.107525	[i-][w-][a-][g-alip1234]
			aliw1234				Aliwal North	NA	NA	[i-][w-][a-][g-aliw1234]
			alla1246				Allagir	NA	NA	[i-][w-][a-][g-alla1246]
			alla1249				Allang	NA	NA	[i-][w-][a-][g-alla1249]
			alla1250				Allaikha	NA	NA	[i-][w-][a-][g-alla1250]
			alle1238				Allentiac	-33.480938	-68.096924	[i-][w-][a-][g-alle1238]
			alll1234				Ål	NA	NA	[i-][w-][a-][g-alll1234]
			almo1242				Almoo	NA	NA	[i-][w-][a-][g-almo1242]
			almu1234				al-Murrah-Ajman	NA	NA	[i-][w-][a-][g-almu1234]
			aloa1239				Aloa	NA	NA	[i-][w-][a-][g-aloa1239]
			alor1246				Alor {Nilotic}	NA	NA	[i-][w-][a-][g-alor1246]
			alor1252				Alor Malay	NA	NA	[i-][w-][a-][g-alor1252]
			alov1235				Alovas	NA	NA	[i-][w-][a-][g-alov1235]
			alpi1238				Alpine Lombard	NA	NA	[i-][w-][a-][g-alpi1238]
			alqo1238				Christian Alqosh	NA	NA	[i-][w-][a-][g-alqo1238]
			alsa1241				Alsatian	NA	NA	[i-][w-][a-][g-alsa1241]
			alse1252				Alsea	NA	NA	[i-][w-][a-][g-alse1252]
			alta1277				Altai-Kizi	NA	NA	[i-][w-][a-][g-alta1277]
			alta1279				Altai Torguud	NA	NA	[i-][w-][a-][g-alta1279]
			alta1280				Altai Uriankhai	NA	NA	[i-][w-][a-][g-alta1280]
			alto1237				Alto Navarro Meridional	NA	NA	[i-][w-][a-][g-alto1237]
