stock	mbranch	sbranch	ssbranch	lsbranch	language	LID	glottolog_LID.2014	ISO639.3.2013
Tungusic	Northern Tungusic	Northwestern Tungusic	NA	NA	Evenki	527	even1259	evn
Sino-Tibetan	Brahmaputran (Sal)	Bodo-Koch (Barish, Bodo-Garo)	NA	NA	Garo	528	garo1247	grt
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Canaanitic	Hebrew (Biblical)	529	anci1244	hbo
Nakh-Daghestanian	Daghestanian	Tsezic	NA	NA	Hunzib	530	hunz1247	huz
Benue-Congo	Igboid	NA	NA	NA	Igbo	531	nucl1417	ibo
Chibchan	Chibchan	Arhuacan	NA	NA	Ika	532	arhu1242	arh
Quechuan	NA	NA	NA	NA	Quechua (Imbabura)	533	imba1240	que
Cushitic	Southern Cushitic	NA	NA	NA	Iraqw	534	iraq1241	irk
Dravidian	South Dravidian	South Dravidian I	NA	NA	Kannada	535	nucl1305	kan
Angan	NA	NA	NA	NA	Kapau	536	hamt1247	hmt
Sino-Tibetan	Karenic	NA	NA	NA	Kayah Li	538	west2409	kyu
Chadic	East Chadic	NA	NA	NA	Kera	539	kera1255	ker
Austroasiatic	Northern Mon-Khmer	Khasic	NA	NA	Khasi	540	khas1269	kha
Austroasiatic	Northern Mon-Khmer	Khmuic	NA	NA	Khmu	541	khmu1256	kjg
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Papuan Tip	Kilivila	542	kili1267	kij
Austronesian	Malayo-Polynesian	Oceanic	Micronesian	NA	Kiribatese	543	gilb1244	gil
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kongo	544	kong1295	kon
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Koro Batak	545	bata1293	btx
Gur	North Gur	NA	NA	NA	Koromfe	546	koro1298	kfz
Sino-Tibetan	Bodic	Tibetan	Western Archaic Tibetan	NA	Ladakhi	548	lada1244	lbj
Indo-European	Balto-Slavic	Baltic	NA	NA	Latvian	549	latv1249	lav
Central Solomons	NA	NA	NA	NA	Lavukaleve	550	lavu1241	lvk
Otomanguean	Chinantecan	NA	NA	NA	Chinantec (Lealao)	551	leal1235	cle
Sino-Tibetan	Lepcha	NA	NA	NA	Lepcha	552	lepc1244	lep
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Luvale	553	luva1239	lue
Maban	NA	NA	NA	NA	Maba	554	maba1277	mde
Wakashan	NA	NA	NA	NA	Makah	555	maka1318	myh
Western Daly	NA	NA	NA	NA	Maranungku	556	mara1386	zmr
Marind	NA	NA	NA	NA	Marind	557	nucl1622	mrz
Austroasiatic	Munda	Northern Munda	Kherwarian	NA	Mundari	558	mund1320	unr
Surmic	NA	NA	NA	NA	Murle	559	murl1244	mur
Eastern Central Sudanic	Lendu	NA	NA	NA	Ngiti	561	ngit1239	niy
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Nkore-Kiga	562	chig1238	cgg
Algic	Algonquian	NA	NA	NA	Passamaquoddy	563	male1292	pqm
Austronesian	Malayo-Polynesian	Oceanic	Central Pacific	Eastern Fijian-Polynesian linkage	Rapanui	564	rapa1244	rap
Chon	NA	NA	NA	NA	Selknam	565	onaa1245	ona
Austroasiatic	Southern Mon-Khmer	Aslian	Semelaic	NA	Semelai	566	seme1247	sza
Pano-Tacanan	Panoan	NA	NA	NA	Shipibo-Konibo	567	ship1254	shp
Pomoan	NA	NA	NA	NA	Pomo (Southeastern)	568	sout2982	pom
Indo-European	Italic-Celtic	Italic	NA	NA	Spanish	569	stan1288	spa
Austronesian	Malayo-Polynesian	South Halmahera-Western New Guinea (SHWNG)	NA	NA	Taba	570	east2440	mky
Berber	NA	NA	NA	Berber	Tamazight (Ayt Ndhir)	571	cent2194	tzm
Uto-Aztecan	Southern Uto-Aztecan	Aztecan	NA	NA	Nahuatl (Tetelcingo)	572	tete1251	nhg
Mek	Eastern Mek	NA	NA	NA	Una	573	unaa1239	mtg
Tupian	Tupi-Guaraní	NA	NA	NA	Uruba-Kaapor	574	urub1250	urb
Mirndi	Barkly (Eastern Mirndi)	NA	NA	NA	Wambaya	575	wamb1258	wmb
Chapakuran	NA	NA	NA	NA	Wari	576	wari1268	pav
Caddoan	NA	NA	NA	NA	Wichita	577	wich1260	wic
Witotoan	NA	NA	NA	NA	Witoto	578	muru1274	huu
Ju	NA	NA	NA	NA	!Xu	579	kung1261	knw
Pama-Nyungan	Yidinyic	NA	NA	NA	Yidiny	580	yidi1250	yii
