stock	mbranch	sbranch	ssbranch	lsbranch	language	LID	glottolog_LID.2014	ISO639.3.2013
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage	Kela (Apoze)	1715	kela1255	kcl
Nubi	NA	NA	NA	NA	Nubi	1716	nubi1253	kcn
Kordofanian	NA	NA	NA	NA	Katla	1717	katl1237	kcr
Lower Sepik - Ramu	Lower Ramu	Watam-Gamay-Awar	Watam-Kaian	NA	Kaian	1718	kaia1245	kct
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kami	1719	kami1256	kcu
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kete	1720	kete1252	kcv
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Makonde	1721	mako1251	kde
Gur	South Gur	NA	NA	NA	Tem	1722	temm1241	kdh
Nilotic	Eastern Nilotic	Teso-Turkana	NA	NA	Karimojong	1723	kara1483	kdj
Benue-Congo	Platoid	NA	NA	NA	Kagoma	1724	kago1247	kdm
Turkic	Common Turkic	Kipchak (Northwest Turkic)	NA	NA	Kirghiz	1725	kirg1245	kir
Turkic	Common Turkic	Kipchak (Northwest Turkic)	NA	NA	Karaim	1726	kara1464	kdr
Keresan	NA	NA	NA	NA	Keresan (Santa Ana)	1727	east1472	kee
Benue-Congo	Cross River	NA	NA	NA	Kana	1728	khan1278	ogo
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Kei	1729	keii1239	kei
Mayan	Quichean-Mamean (Eastern Maya)	Quichean	NA	NA	K'ekchí	1730	kekc1242	kek
Benue-Congo	Bantoid	NA	NA	NA	Kenyang	1731	keny1279	ken
Indo-European	Indo-Iranian	Indo-Aryan	NA	NA	Kokni	1732	kukn1238	kex
Dravidian	South Dravidian	South Dravidian I	NA	NA	Kodava	1733	koda1255	kfa
Dravidian	South Dravidian	South Dravidian II (”South-Central”)	NA	NA	Konda	1734	kond1295	kfc
Dravidian	South Dravidian	South Dravidian II (”South-Central”)	NA	NA	Koya	1736	koya1251	kff
Austroasiatic	Munda	Northern Munda	NA	NA	Korku	1737	kork1243	kfq
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Kumauni	1738	kuma1273	kfy
Kusunda	NA	NA	NA	NA	Kusunda	1739	kusu1250	kgg
Tupian	Tupi-Guaraní	NA	NA	NA	Kaiwá	1740	kaiw1246	kgk
Macro-Ge	Ge	Southern Ge	NA	NA	Kaingang	1741	kain1272	kgp
Macro-Ok	Asmat-Kamoro	NA	NA	NA	Kamoro	1742	kamo1255	kgq
West Papuan	NA	NA	NA	NA	Abun	1743	abun1252	kgr
Pama-Nyungan	Gumbaynggiric	NA	NA	NA	Gumbaynggir	1744	kumb1268	kgs
Mande	West Mande	NA	NA	NA	Koranko	1745	kura1250	knk
Tai-Kadai	NA	NA	NA	NA	Lü	1746	luuu1242	khb
Morehead and Upper Maro Rivers	NA	NA	NA	NA	Kanum (Bädi)	1747	badi1247	khd
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage	Kaliai-Kove	1748	lusi1240	khl
Adamawa-Ubangi	NA	NA	NA	NA	Koh (Lakka)	1749	kuoo1238	xuo
Austroasiatic	Munda	Southern Munda	NA	NA	Kharia	1750	khar1287	khr
Nakh-Daghestanian	Daghestanian	Tsezic	NA	NA	Khwarshi	1751	khva1239	khv
Indo-European	Indo-Iranian	Nuristani	NA	NA	Khowar	1752	khow1242	khw
Adamawa-Ubangi	NA	NA	NA	NA	Kosop	1753	kimm1246	kia
Algic	Algonquian	NA	NA	NA	Kickapoo	1754	kick1244	kic
Caddoan	NA	NA	NA	NA	Kitsai	1755	kits1249	kii
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kamba	1756	kamb1297	kam
Mek	Eastern Mek	NA	NA	NA	Ketengban	1757	kete1254	xte
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Kilba	1758	huba1236	hbb
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kinga	1759	nucl1379	zga
Mayan	Greater Kanjobalan	Kanjobalan	NA	NA	Kanjobal (Eastern)	1760	qanj1241	kjb
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Konjo	1761	coas1295	kjc
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Kisar	1762	kisa1266	kje
Turkic	Common Turkic	Northern Turkish	Siberian	NA	Khakas	1763	khak1248	kjh
Pama-Nyungan	Paman	Kunjen	NA	NA	Kunjen	1764	kunj1245	kjn
Sino-Tibetan	Karenic	NA	NA	NA	Karen (Pwo)	1765	pwoe1235	kjp
Pomoan	NA	NA	NA	NA	Kashaya	1766	kash1280	kju
Tai-Kadai	NA	NA	NA	NA	Gelao	1767	gela1261	gio
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kaguru	1768	kagu1239	kki
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Meso-Melanesian linkage	Kokota	1769	koko1269	kkk
Mek	Western Mek	NA	NA	NA	Yale (Kosarek)	1770	kosa1249	kkl
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Teke (Southern)	1771	teke1280	kkw
Pama-Nyungan	Guugu Yimidhirr	NA	NA	NA	Guugu Yimidhirr	1772	gugu1255	kky
Yuman	NA	NA	NA	NA	Kiliwa	1773	kili1268	klb
Pama-Nyungan	Wiraduric	NA	NA	NA	Gamilaraay	1774	gami1243	kld
Sino-Tibetan	Kiranti	Central-Eastern Kiranti	Central Kiranti	Khambu	Kulung	1775	kulu1253	kle
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Nande	1776	nand1264	nnb
Turama-Kikori	NA	NA	NA	NA	Rumu	1777	rumu1243	klq
Sino-Tibetan	Kiranti	Western Kiranti	Upper Dudhkosi	NA	Khaling	1778	khal1275	klr
Indo-European	Indo-Iranian	Nuristani	NA	NA	Kalasha	1779	kala1372	kls
Kru	West Kru	NA	NA	NA	Klao	1780	klao1243	klu
Gur	North Gur	NA	NA	NA	Konni	1781	konn1242	kma
Madang	Kalamic-South Adelbert	Kalam-Kobon	NA	NA	Kalam	1782	kala1397	kmh
Sepik	Nukuma	NA	NA	NA	Kwoma	1784	kwom1262	kmo
Nimboran	NA	NA	NA	NA	Kemtuik	1785	kemt1242	kmt
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Kankanay	1786	kank1243	kne
Mayan	Greater Kanjobalan	Kanjobalan	NA	NA	Kanjobal (Western)	1787	west2635	knj
Indo-European	Indo-Iranian	Indo-Aryan	Southwestern Indo-Aryan	NA	Konkani	1788	konk1267	knn
Katukinan	NA	NA	NA	NA	Canamarí	1789	kana1291	knm
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kanyok	1790	kany1247	kny
Surmic	NA	NA	NA	NA	Baale	1791	kaci1244	koe
Chibchan	Chibchan	Arhuacan	NA	NA	Cogui	1792	cogu1240	kog
Koman	NA	NA	NA	NA	Komo	1793	komo1260	kmw
Indo-European	Germanic	West Germanic	NA	NA	German (Ripuarian)	1795	kols1241	ksh
Gur	North Gur	NA	NA	NA	Konkomba	1796	konk1269	xon
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Lagwan	1797	lagw1237	kot
Na-Dene	Athabaskan	NA	NA	NA	Koyukon	1798	koyu1237	koy
Arawakan	North Amazonian	NA	NA	NA	Curripaco	1799	curr1243	kpc
Mande	West Mande	NA	NA	NA	Kpelle	1800	kpel1252	kpe
Austronesian	Malayo-Polynesian	Oceanic	Central Pacific	Eastern Fijian-Polynesian linkage	Kapingamarangi	1801	kapi1249	kpg
Macro-Ge	Karajá	NA	NA	NA	Javaé	1802	kara1500	kpj
Benue-Congo	Platoid	NA	NA	NA	Kpan	1803	kpan1246	kpk
Austroasiatic	Eastern Mon-Khmer	Bahnaric	NA	NA	Sre	1804	koho1244	kpm
Kwa	Ka-Togo	NA	NA	NA	Kposo	1805	ikpo1238	kpo
Greater Binanderean	Binanderean	Nuclear Binanderean	NA	NA	Korafe	1806	kora1294	kpr
Nakh-Daghestanian	Daghestanian	Avar-Andic	Andic	NA	Karata	1807	kara1474	kpt
Chukchi-Kamchatkan	Chukotkan	Southern Chukotkan	NA	NA	Koryak	1808	kory1246	kpy
Nilotic	Southern Nilotic	Kalenjin	NA	NA	Sebei	1809	kups1238	kpz
Koiarian	Koiaric	NA	NA	NA	Koita	1810	koit1244	kqi
Omotic	NA	NA	NA	NA	Koyra	1812	kyer1238	kgy
Chukchi-Kamchatkan	Chukotkan	Northern Chukotkan	NA	NA	Kerek	1813	kere1280	krk
Uralic	Finno-Ugric	Finno-Permian	Finno-Volgaic	Finno-Saamic	Karelian	1814	kare1335	krl
Kresh-Aja	NA	NA	NA	NA	Kresh	1815	gbay1288	krs
Nakh-Daghestanian	Daghestanian	Lezgian	Samurian (core Lezgian)	Southern Samurian	Kryz	1816	kryt1240	kry
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Shambala	1817	sham1280	ksb
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Bafia	1818	bafi1243	ksf
Austronesian	Malayo-Polynesian	Oceanic	Micronesian	NA	Kosraean	1819	kosr1238	kos
Turkic	Common Turkic	Kipchak (Northwest Turkic)	NA	NA	Kumyk	1820	kumy1244	kum
Chadic	West Chadic	NA	NA	NA	Kwami	1821	kwaa1269	ksq
South Atlantic	NA	NA	NA	NA	Kisi (Southern)	1822	sout2778	kss
Gur	South Gur	NA	NA	NA	Ko (Winye)	1823	winy1241	kst
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Kedang	1824	keda1252	ksx
Pama-Nyungan	Southwestern Pama-Nyungan	Wati	NA	NA	Gugada	1825	koka1244	ktd
Pama-Nyungan	Kalkatungic	NA	NA	NA	Kalkatungu	1826	kalk1246	ktg
Tupian	NA	NA	NA	NA	Karitiâna	1827	kari1311	ktn
Kuot	NA	NA	NA	NA	Kuot	1828	kuot1243	kto
Kituba	NA	NA	NA	NA	Kituba	1829	kitu1246	ktu
Austroasiatic	Eastern Mon-Khmer	Katuic	NA	NA	Katu	1830	east1236	ktv
Na-Dene	Athabaskan	NA	NA	NA	Kato	1831	kato1244	ktw
Ju	NA	NA	NA	NA	Ju|'hoan	1832	juho1239	ktz
Chibchan	NA	NA	NA	NA	Kuna	1833	bord1248	kvn
Na-Dene	Athabaskan	NA	NA	NA	Kutchin	1834	gwic1235	gwi
Chimbu-Wahgi	Chimbu	NA	NA	NA	Kuman	1835	kuma1280	kue
Goilalan	NA	NA	NA	NA	Kunimaipa	1836	kuni1267	kup
Pano-Tacanan	Panoan	NA	NA	NA	Karipuna (Guapore)	1837	kari1317	kuq
Na-Dene	Athabaskan	NA	NA	NA	Kuskokwim (Upper)	1838	uppe1438	kuu
Atacameño	NA	NA	NA	NA	Atacameño	1839	kunz1244	kuz
Nakh-Daghestanian	Daghestanian	Avar-Andic	Andic	NA	Bagwalal	1840	bagv1239	kva
Dravidian	South Dravidian	NA	NA	NA	Kui (India)	1841	kuii1252	kxu
Sign Language South Korean	NA	NA	NA	NA	Sign Language South Korean	1842	kore1273	kvk
Dravidian	North Dravidian	NA	NA	NA	Kurukh	1843	kuru1302	kru
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Dobel	1844	dobe1238	kvo
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Kola	1845	kola1285	kvv
Nadahup	NA	NA	NA	NA	Dâw	1846	daww1239	kwa
Austronesian	Malayo-Polynesian	Oceanic	Southeast Solomonic	Longgu/Malaita/Makira	Kwaio	1847	kwai1243	kwd
Orya-Mawes-Tor-Kwerba	Kwerba	NA	NA	NA	Kwerba	1848	nucl1595	kwe
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kwangali	1849	kwan1273	kwn
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage	Kairiru	1850	kair1263	kxa
Dravidian	South Dravidian	South Dravidian II (”South-Central”)	NA	NA	Kuvi	1851	kuvi1243	kxv
Engan-Kewa	Engan	NA	NA	NA	Kyaka	1852	kyak1244	kyc
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Karao	1853	kara1487	kyj
Bongo-Bagirmi	NA	NA	NA	NA	Kenga	1854	keng1240	kyq
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Kayan (Baram)	1855	bara1370	kys
Senufo	NA	NA	NA	NA	Tenyer	1856	west2466	kza
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Da'a	1857	daak1235	kzf
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Kelabit	1858	kela1258	kzi
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Kadazan	1859	coas1294	kzj
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Lamba	1860	lamb1271	lam
Mayan	Yucatecan	NA	NA	NA	Lacandón	1861	laca1243	lac
Sino-Tibetan	West Himalayish	Greater Kinnauri	NA	NA	Pattani	1862	patt1248	lae
Kordofanian	NA	NA	NA	NA	Lafofa	1863	lafo1243	laf
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Langi	1864	lang1320	lag
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Lauje	1865	lauj1238	law
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage	Aribwatsa	1866	arib1241	laz
Tai-Kadai	NA	NA	NA	NA	Lakkia	1867	lakk1238	lbc
Sino-Tibetan	West Himalayish	Greater Kinnauri	NA	NA	Tinani	1868	tina1246	lbf
Austroasiatic	Eastern Mon-Khmer	Bahnaric	NA	NA	Loven	1869	lave1248	lbo
Tai-Kadai	NA	NA	NA	NA	Lachi	1870	lach1248	lbt
Pama-Nyungan	Paman	Lamalamic	NA	NA	Lamu-Lamu	1871	lamu1254	lby
Tangkic	NA	NA	NA	NA	Lardil	1872	lard1243	lbz
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Lucazi	1873	luch1239	lch
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Meso-Melanesian linkage	Tungak	1874	tung1290	lcm
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Lega	1875	lega1249	lea
Eastern Central Sudanic	Lendu	NA	NA	NA	Lendu	1876	lend1245	led
Gur	South Gur	NA	NA	NA	Lyele	1877	lyel1241	lee
Kwa	Ka-Togo	NA	NA	NA	Lelemi	1878	lele1264	lef
Mascoyan	NA	NA	NA	NA	Lengua	1879	leng1262	leg
Eastern Central Sudanic	Mangbutu-Efe	NA	NA	NA	Lese	1880	lese1243	les
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Meso-Melanesian linkage	Kara (Papua New Guinea)	1881	kara1486	leu
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Kaili	1882	ledo1238	lew
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Wetan	1883	luan1263	lex
Austronesian	Malayo-Polynesian	Oceanic	Southeast Solomonic	Longgu/Malaita/Makira	Longgu	1884	long1395	lgu
Tai-Kadai	NA	NA	NA	NA	Laha	1885	laha1250	lha
Indo-European	Italic-Celtic	Italic	NA	NA	Italian (Genoa)	1886	ital1282	ita
Salishan	Interior Salish	Northern Interior Salish	NA	NA	Lillooet	1887	lill1248	lil
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Lingala	1888	ling1263	lin
Sino-Tibetan	Lolo-Burmese	Loloish	Central Loloish	NA	Lisu	1889	lisu1250	lis
Indo-European	Balto-Slavic	Baltic	NA	NA	Lithuanian	1890	lith1251	lit
Uralic	Finno-Ugric	Finno-Permian	Finno-Volgaic	Finno-Saamic	Liv	1891	livv1244	liv
Adamawa-Ubangi	NA	NA	NA	NA	Linda	1892	band1344	liy
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Lampung	1893	lamp1243	ljp
Nilotic	Western Nilotic	Lwo	Northern Lwo	NA	Päri	1894	pari1256	lkr
Indo-European	Italic-Celtic	Italic	NA	NA	Ladin	1895	ladi1250	lld
Chadic	East Chadic	NA	NA	NA	Lele	1896	lele1276	lln
Austronesian	Malayo-Polynesian	Oceanic	NA	NA	Nguna	1897	nort2836	llp
Austronesian	Malayo-Polynesian	Oceanic	Southeast Solomonic	Longgu/Malaita/Makira	Lau	1898	lauu1247	llu
Chadic	Masa	NA	NA	Masa group	Lamé	1899	peve1243	lme
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	North Vanuatu Linkage	Raga	1900	hano1246	lml
Indo-European	Indo-Iranian	Indo-Aryan	Central Indo-Aryan	NA	Lamani	1901	lamb1269	lmn
Yokuts-Utian	Utian	Miwok-Costanoan	Miwok	Western Miwok	Miwok (Lake)	1902	lake1258	lmw
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Mbalanhu	1903	mbal1255	lnb
Indo-European	Italic-Celtic	Italic	NA	NA	Occitan	1904	occi1239	oci
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Lun Dayeh	1905	lund1271	lnd
Gur	North Gur	NA	NA	NA	Lobi	1906	lobi1245	lob
Eastern Central Sudanic	Moru-Madi	NA	NA	NA	Logoti	1907	logo1259	log
Austronesian	Malayo-Polynesian	Oceanic	Admiralty	NA	Lou	1908	louu1245	loj
Mande	West Mande	NA	NA	NA	Loko	1909	loko1255	lok
Mande	West Mande	NA	NA	NA	Loma	1910	loma1260	lom
Austronesian	Malayo-Polynesian	Oceanic	Admiralty	NA	Loniu	1911	loni1238	los
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Lozi	1912	lozi1239	loz
Indo-European	Indo-Iranian	Iranian	Southwest Iranian	NA	Luri	1913	luri1256	ldd
Sino-Tibetan	Kukish (Mizo-Kuki-Chin)	Central Chin	NA	NA	Mizo (Lushai)	1914	lush1249	lus
Austronesian	Malayo-Polynesian	Central Malayo-Polynesian non-clade	NA	NA	Leti	1915	leti1246	lti
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	CiLuba	1916	luba1249	lua
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Kiluba	1917	luba1250	lub
Austronesian	Malayo-Polynesian	Oceanic	Central Pacific	Eastern Fijian-Polynesian linkage	Luangiua	1918	onto1237	ojv
Nilotic	Western Nilotic	Lwo	Southern Lwo	NA	Luo	1919	luok1236	luo
Salishan	Coast Salish	Central Coast Salish	Lushootseed	NA	Lushootseed	1920	lush1252	lut
Indo-European	Germanic	West Germanic	NA	NA	Luxemburgeois	1921	luxe1241	ltz
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Luyia	1922	luyi1234	luy
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Lunda	1923	lund1266	lun
Nilotic	Western Nilotic	Lwo	Northern Lwo	NA	Jur Luwo	1924	luwo1239	lwo
Austronesian	Malayo-Polynesian	Oceanic	Southern Oceanic linkage	Central Vanuatu linkage	Lewo	1925	lewo1242	lww
Kartvelian	Georgian-Zan	Zan	NA	NA	Laz	1926	lazz1240	lzz
Maiduan	NA	NA	NA	NA	Konkow	1927	nort2951	mjd
Uralic	Finno-Ugric	Finno-Permian	Finno-Volgaic	Maric	Mari (Meadow)	1928	east2328	mhr
North Atlantic	NA	NA	NA	NA	Mankanya	1929	mank1251	knf
Otomanguean	Popolocan	NA	NA	NA	Mazatec (Chiquihuitlán)	1930	chiq1250	maq
Kordofanian	NA	NA	NA	NA	Masakin	1931	ngil1242	jle
Gur	North Gur	NA	NA	NA	Mampruli	1932	mamp1244	maw
Uto-Aztecan	Southern Uto-Aztecan	Sonoran	NA	NA	Mayo	1933	mayo1264	mfy
Otomanguean	Otomian	NA	NA	NA	Mazahua	1934	cent2144	maz
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Manobo (Western Bukidnon)	1935	west2555	mbb
Cariban	NA	NA	NA	NA	Macushi	1936	macu1259	mbc
Molala	NA	NA	NA	NA	Molala	1937	mola1238	mbe
Nadahup	NA	NA	NA	NA	Nadëb	1938	nade1244	mbj
Guahiboan	NA	NA	NA	NA	Macaguán	1939	maca1259	mbn
Chibchan	Chibchan	Arhuacan	NA	NA	Damana	1940	mala1522	mbp
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Papuan Tip	Maisin	1941	mais1250	mbq
Kakua-Nukak	NA	NA	NA	NA	Nukak	1942	nuka1242	mbr
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Kulamanen	1943	mati1250	mbt
Chimbu-Wahgi	Jimi	NA	NA	NA	Maring	1944	mari1435	mbw
Arawakan	Campa	NA	NA	NA	Machiguenga	1945	mach1267	mcb
Pano-Tacanan	Panoan	NA	NA	NA	Sharanahua	1946	shar1245	mcd
Pano-Tacanan	Panoan	NA	NA	NA	Matsés	1947	mats1244	mcf
Cariban	NA	NA	NA	NA	Mapoyo	1948	mapo1246	mcg
Cariban	NA	NA	NA	NA	Carib (De'kwana)	1949	maqu1238	mch
Malacca Creole	NA	NA	NA	NA	Malacca Creole	1950	mala1533	mcm
Chadic	Masa	NA	NA	Masa group	Masa	1951	masa1322	mcn
Mixe-Zoque	NA	NA	NA	NA	Mixe (Coatlán)	1952	coat1238	mco
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Makaa	1953	maka1304	mcp
Angan	NA	NA	NA	NA	Menya	1954	meny1245	mcr
Benue-Congo	Platoid	NA	NA	NA	Mada (Nigeria)	1955	mada1282	mda
Adamawa-Ubangi	NA	NA	NA	NA	Mbum	1956	mbum1254	mdd
Uralic	Finno-Ugric	Finno-Permian	Finno-Volgaic	Finno-Saamic	Mordvin (Moksha)	1957	moks1248	mdf
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Magindanao	1958	magu1243	mdh
Eastern Central Sudanic	Mangbutu-Efe	NA	NA	NA	Mamvu	1959	mamv1243	mdi
Eastern Central Sudanic	Mangbutu-Efe	NA	NA	NA	Mangbetu	1960	mang1394	mdj
Adamawa-Ubangi	NA	NA	NA	NA	Mbodomo	1961	sout2785	gso
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Mbole	1962	mbol1247	mdq
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Mbere	1963	mber1257	mdt
Omotic	NA	NA	NA	NA	Maale	1964	male1284	mdy
Maran	NA	NA	NA	NA	Mara	1965	mara1385	mec
Nubian	NA	NA	NA	NA	Midob	1966	mido1240	mei
East Bird’s Head	NA	NA	NA	NA	Meyah	1967	meya1236	mej
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Papuan Tip	Mekeo	1968	meke1243	mek
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Melanau	1969	cent2101	mel
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	Papuan Tip	Motu	1970	motu1246	meu
Mande	East Mande	NA	NA	NA	Mano	1971	mann1248	mev
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Arabic (Bani-Hassan)	1972	hass1238	mey
Algic	Algonquian	NA	NA	NA	Menomini	1973	meno1252	mez
Adamawa-Ubangi	NA	NA	NA	NA	Mba	1974	mbaa1245	mfc
Mauritian Creole	NA	NA	NA	NA	Mauritian Creole	1975	mori1278	mfe
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Malgwa	1976	wand1278	mfi
North Atlantic	NA	NA	NA	NA	Manjaku	1977	mand1419	mfv
Mande	West Mande	NA	NA	NA	Mende	1978	mend1266	men
Eastern Central Sudanic	Moru-Madi	NA	NA	NA	Moru	1979	moru1253	mgd
Bulaka	NA	NA	NA	NA	Maklew	1980	makl1246	mgf
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage	Maleu	1981	male1289	mgl
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Mambwe	1983	mamb1296	mgr
Mailuan	NA	NA	NA	NA	Magi	1984	mail1248	mgu
Benue-Congo	Bantoid	Bantu (narrow)	NA	NA	Matuumbi	1985	matu1259	mgw
Cushitic	Southern Cushitic	NA	NA	NA	Mbugu	1986	mbug1240	mhd
Austroasiatic	Southern Mon-Khmer	Aslian	NA	NA	Mah Meri	1987	besi1244	mhe
Eastern Central Sudanic	Moru-Madi	NA	NA	NA	Ma'di	1988	madi1260	mhi
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Madurese	1989	nucl1460	mad
Benue-Congo	Bantoid	Grassfields Bantu	NA	NA	Mungaka	1990	mung1266	mhk
Gur	North Gur	NA	NA	NA	Moré	1991	moss1236	mos
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Mandar	1992	mand1442	mdr
Siouan	NA	NA	NA	NA	Mandan	1993	mand1446	mhq
Semitic	West Semitic	Central (West Semitic)	South-Central Semitic	Arabic	Mehri	1994	mehr1241	gdq
Sino-Tibetan	Lolo-Burmese	Burmish	NA	NA	Arakanese (Marma)	1995	marm1234	mhv
Sino-Tibetan	Lolo-Burmese	Burmish	NA	NA	Maru	1996	maru1249	mhx
Austronesian	Malayo-Polynesian	Western Malayo-Polynesian non-clade	NA	NA	Ma'anyan	1997	maan1238	mhy
Austronesian	Malayo-Polynesian	South Halmahera-Western New Guinea (SHWNG)	NA	NA	Mor	1998	morm1235	mhz
Algic	Algonquian	NA	NA	NA	Illinois	1999	miam1252	mia
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Atatlahuca)	2000	atat1238	mib
Algic	Algonquian	NA	NA	NA	Micmac	2001	mikm1235	mic
Semitic	West Semitic	Central (West Semitic)	Aramaic	Aramaic	Mandaic (Modern)	2002	nucl1706	mid
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Ocotepec)	2003	ocot1243	mie
Chadic	Biu-Mandara (Central Chadic)	NA	NA	NA	Mofu-Gudur	2004	mofu1248	mif
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (San Miguel el Grande)	2005	sanm1295	mig
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Chayuco)	2006	chay1249	mih
Muskogean	NA	NA	NA	NA	Mikasuki	2007	mika1239	mik
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Peñoles)	2008	peno1244	mil
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Alacatlatzala)	2009	alac1244	mim
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Jicaltepec)	2010	pino1237	mio
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Ayutla)	2011	ayut1236	miy
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (Coatzospan)	2012	coat1241	miz
Otomanguean	Mixtecan	NA	NA	NA	Mixtec (San Juan Colorado)	2013	sanj1281	mjc
Indo-European	Italic-Celtic	Celtic	NA	NA	Manx	2014	manx1243	glv
Tungusic	Southern Tungusic	NA	NA	NA	Manchu	2015	manc1252	mnc
Mongolic	NA	NA	NA	NA	Mangghuer	2016	tuuu1240	mjg
Miao-Yao	NA	NA	NA	NA	Mun	2017	kimm1245	mji
Austronesian	Malayo-Polynesian	Oceanic	Western Oceanic linkage	North New Guinea linkage	Matukar	2018	matu1261	mjk
Dravidian	South Dravidian	South Dravidian I	NA	NA	Malayalam	2019	mala1464	mal
Sino-Tibetan	NA	NA	NA	NA	Mikir	2020	karb1241	mjw
