Family	Tree
Cushitic	((('Kemant [i-ahg][w-kem][a-2351][g-qima1242]','Bilin [i-byn][w-bln][a-1097][g-bili1260]','Awngi [i-awn][w-awn][a-948][g-awng1244]')'Central Cushitic [i-][w-][a-][g-]',('Alagwa [i-wbj][w-agw][a-2708][g-alag1248]','Mbugu [i-mhd][w-mbg][a-1986][g-mbug1240]','Gorowa [i-gow][w-gor][a-1560][g-goro1270]','Burunge [i-bds][w-brn][a-991][g-buru1320]','Dahalo [i-dal][w-dah][a-686][g-daha1245]','Iraqw [i-irk][w-irq][a-534][g-iraq1241]')'Southern Cushitic [i-][w-][a-][g-]',('Sidaama [i-sid][w-sid][a-3173][g-sida1246]','Alaba-K`abeena [i-alw][w-][a-3018][g-alab1254]','Tsamai [i-tsb][w-][a-3009][g-tsam1247]','Kambaata [i-ktb][w-][a-2972][g-kamb1316]','Saho [i-ssy][w-sao][a-2487][g-saho1246]','Oromo {Waata} [i-ssn][w-orw][a-2483][g-waat1238]','Rendille [i-rel][w-ren][a-2366][g-rend1243]','Dullay {Gollango} [i-gwd][w-dug][a-1583][g-gaww1239]','Oromo {West-Central} [i-gaz][w-owc][a-1520][g-west2721]','Oromo {Boraana} [i-gax][w-orb][a-1519][g-bora1271]','Dhaasanac [i-dsh][w-dha][a-1401][g-daas1238]','Bayso [i-bsw][w-bys][a-1074][g-bais1246]','Burji [i-bji][w-brj][a-1025][g-burj1242]','Arbore [i-arv][w-abo][a-926][g-arbo1245]','Qafar [i-aar][w-qaf][a-846][g-afar1241]','Somali [i-som][w-som][a-355][g-soma1255]','Oromo [i-hae][w-orh][a-324][g-east2652]')'Eastern Cushitic [i-][w-][a-][g-]')'Cushitic [i-][w-][a-][g-]');
Beja	(('Beja [i-bej][w-bej][a-34][g-beja1238]')'Beja [i-][w-][a-][g-]');
Sumerian	(('Sumerian [i-sux][w-][a-360][g-sume1241]')'Sumerian [i-][w-][a-][g-]');
Elamite	(('Elamite [i-elx][w-][a-73][g-elam1244]')'Elamite [i-][w-][a-][g-]');
Hurro-Urartean	(('Hurrian [i-xhu][w-][a-108][g-hurr1240]')'Hurro-Urartean [i-][w-][a-][g-]');
Basque	(('Basque {Zeberio} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1244][g-basq1248]','Basque {Sakana} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1243][g-basq1248]','Basque {Roncalese} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1242][g-basq1248]','Basque {Onati} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1241][g-basq1248]','Basque {Northern High Navarrese} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1240][g-basq1248]','Basque {Lekeitio} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1239][g-basq1248]','Basque {Hondarribia} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1238][g-basq1248]','Basque {Gernica} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1237][g-basq1248]','Basque {Bidasoa Valley} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1236][g-basq1248]','Basque {Basaburua and Imoz} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1235][g-basq1248]','Basque {Souletin} [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-1075][g-basq1248]','Basque [i-eus][w-bqb-bqg-bqh-bqi-bql-bqn-bqo-bqr-bqs-bqz-bsq][a-32][g-basq1248]')'Basque [i-][w-][a-][g-]');
Indo-European	((('Arvanitika [i-aat][w-][a-306][g-arva1236]','Albanian [i-als][w-][a-17][g-tosk1239]')'Albanian [i-][w-][a-][g-]',(('Parya [i-paq][w-][a-3002][g-pary1242]',('Pali [i-pli][w-][a-2866][g-pali1273]')'Pali [i-][w-][a-][g-]','Vasavi [i-vas][w-vas][a-2686][g-vasa1239]','Kokni [i-kex][w-kkz][a-1732][g-kukn1238]','Halbi [i-hlb][w-hlb][a-1610][g-halb1244]','Gojri [i-gju][w-goj][a-1545][g-guja1253]',('Saurashtra [i-saz][w-][a-2909][g-saur1248]','Vedda [i-ved][w-ved][a-2687][g-vedd1240]','Dhivehi [i-div][w-dhi][a-2457][g-dhiv1236]','Sinhala [i-sin][w-snh][a-2456][g-sinh1246]','Marathi [i-mar][w-mhi][a-2081][g-mara1378]','Konkani [i-knn][w-kkn][a-1788][g-konk1267]','Gujarati [i-guj][w-guj][a-1544][g-guja1252]')'Southwestern Indo-Aryan [i-][w-][a-][g-]','Kumauni {Johari} [i-kfy][w-kum][a-1340][g-kuma1273]',('Sanskrit [i-san][w-][a-699][g-sans1269]')'Sanskrit [i-][w-][a-][g-]',(('Oriya {Kotia} [i-ort][w-oko][a-2257][g-adiv1239]','Oriya [i-ori][w-oya][a-641][g-nucl1284]')'Oriya [i-][w-][a-][g-]',('Bangla {Chittagong} [i-ctg][w-bec][a-1145][g-chit1275]','Bangla [i-ben][w-ben][a-639][g-beng1280]')'Bangla [i-][w-][a-][g-]','Assamese [i-asm][w-ass][a-638][g-assa1263]')'Eastern Indo-Aryan [i-][w-][a-][g-]',('Palula [i-phl][w-][a-2936][g-phal1254]','Torwali [i-trw][w-trw][a-2615][g-torw1241]','Sindhi [i-snd][w-sdh][a-2454][g-sind1272]','Savi [i-sdg][w-sav][a-2404][g-savi1242]','Shina [i-scl][w-sna][a-2401][g-shin1264]','Panjabi [i-pan][w-pan][a-2315][g-panj1256]','Kalami [i-gwc][w-kal][a-1582][g-kala1373]','Dumaki [i-dmk][w-dmk][a-1356][g-doma1260]','Brokskat [i-bkk][w-bkt][a-1031][g-brok1247]','Shina {Eastern} [i-scl][w-sna][a-636][g-shin1264]','Kashmiri [i-kas][w-kas][a-633][g-kash1277]')'Dardic {Northwestern Indo-Aryan} [i-][w-][a-][g-]',('Nepali {Eastern} [i-npi][w-][a-3117][g-nepa1252]','Magahi [i-mag][w-mgh][a-2071][g-maga1260]','Mawchi [i-mke][w-mwc][a-2022][g-mawc1242]','Shekhawati [i-swv][w-skw][a-2021][g-shek1243]','Lamani [i-lmn][w-lmn][a-1901][g-lamb1269]','Kumauni [i-kfy][w-kum][a-1738][g-kuma1273]','Darai [i-dry][w-dar][a-1399][g-dara1250]','Dogri [i-dgo][w-][a-1378][g-dogr1250]','Bhojpuri [i-bho][w-bho][a-1011][g-bhoj1244]','Bhili [i-bhb][w-bhi][a-1009][g-bhil1251]','Bagri [i-bgq][w-bgi][a-1007][g-bagr1243]','Awadhi [i-awa][w-awd][a-946][g-awad1243]',('Romani {North Russian} [i-rom][w-][a-2376][g-roma1329]','Romani {Welsh} [i-rmw][w-rwe][a-2374][g-wels1246]','Domari [i-rmt][w-dom][a-2373][g-doma1258]','Romani {Burgenland} [i-rmo][w-rbg][a-2372][g-sint1235]','Romani {Lovari} [i-rmy][w-rka-rlo][a-1396][g-vlax1238]','Romani {Kalderash} [i-rmy][w-rka-rlo][a-1395][g-vlax1238]','Romani {Bugurdzi} [i-rmn][w-rav-rbu][a-1394][g-balk1252]','Romani {Ajia Varvara} [i-rmn][w-rav-rbu][a-1393][g-balk1252]','Romani {Sepecides} [i-rmn][w-rav-rbu][a-798][g-balk1252]')'Romani [i-][w-][a-][g-]','Maithili [i-mai][w-mai][a-169][g-mait1250]',('Urdu [i-urd][w-urd][a-2671][g-urdu1245]','Hindi [i-hin][w-hin][a-99][g-hind1269]')'Hindi-Urdu [i-][w-][a-][g-]','Nepali [i-nep][w-nep][a-206][g-nepa1252]')'Central Indo-Aryan [i-][w-][a-][g-]')'Indo-Aryan [i-][w-][a-][g-]',('Koluri [i-shm][w-klr][a-2424][g-shah1254]',('Wakhi {Hunza} [i-wbl][w-wak][a-2916][g-wakh1245]','Munji [i-mnj][w-][a-2891][g-munj1244]','Yidgha [i-ydg][w-][a-2890][g-yidg1240]','Sanglichi [i-sgy][w-][a-2889][g-sang1316]','Sariqoli [i-srh][w-][a-2888][g-sari1246]','Roshorvi [i-sgh][w-rsh][a-2887][g-shug1248]','Bartangi [i-sgh][w-rsh][a-2886][g-shug1248]','Shughni [i-sgh][w-rsh][a-2885][g-shug1248]','Zebaki [i-sgl][w-ish][a-2884][g-sang1316]','Khufi [i-sgh][w-rsh][a-2883][g-shug1248]','Yazgulyam [i-yah][w-yaz][a-2761][g-yazg1240]','Wakhi {Wakhan} [i-wbl][w-wak][a-2709][g-wakh1245]','Ishkashimi [i-isk][w-][a-2417][g-sang1316]','Rushan [i-sgh][w-rsh][a-2416][g-shug1248]','Pashto [i-pst][w-psh][a-2340][g-cent1973]')'Southeast Iranian [i-][w-][a-][g-]',('Talysh {Northern} [i-tly][w-taz-tls][a-2929][g-taly1247]','Eshtehardi [i-esh][w-][a-2927][g-esht1238]','Takestani [i-tks][w-tts][a-2926][g-take1255]','Chali [i-tks][w-][a-2925][g-]','Shahrudi [i-shm][w-klr][a-2924][g-shah1254]','Kajali [i-xkj][w-][a-2923][g-kaja1247]','Tarom [i-tov][w-][a-2922][g-uppe1235]','Dimili [i-diq][w-zaz][a-2919][g-diml1238]','Kirmanjki [i-kiu][w-][a-2918][g-kirm1248]','Parachi [i-prc][w-][a-2892][g-para1299]','Zazaki [i-zza][w-][a-2823][g-zaza1246]','Kabatei [i-xkp][w-kbt][a-2750][g-kaba1276]','Vafsi [i-vaf][w-vaf][a-2681][g-vafs1240]','Dari [i-prs][w-dri][a-2334][g-dari1249]','Ormuri [i-oru][w-orm][a-2258][g-ormu1247]','Mazanderani [i-mzn][w-mzn][a-2126][g-maza1291]','Hawrami [i-hac][w-hwr][a-1590][g-gura1251]','Gilaki [i-glk][w-gil][a-1549][g-gila1241]','Talysh {Southern} [i-tly][w-taz-tls][a-1429][g-taly1247]','Talysh {Azerbaijan} [i-tly][w-taz-tls][a-1428][g-taly1247]','Baluchi [i-bal][w-][a-1006][g-balo1260]','Kurdish {Central} [i-ckb][w-][a-985][g-cent1972]',('Kurmanji [i-kur][w-][a-676][g-khor1267]')'Kurdish [i-][w-][a-][g-]')'Northwest Iranian [i-][w-][a-][g-]',('Tat {Muslim} [i-ttt][w-tmu][a-2631][g-musl1236]','Tati {Southern} [i-tks][w-tts][a-2578][g-take1255]','Tajik [i-tgk][w-taj][a-2289][g-taji1245]','Persian {Western Farsi} [i-fas][w-][a-2288][g-west2369]','Luri [i-ldd][w-][a-1913][g-luri1256]','Persian [i-pes][w-prs][a-456][g-west2369]')'Southwest Iranian [i-][w-][a-][g-]',('Avestan [i-ave][w-][a-2900][g-aves1237]','Yaghnobi [i-yai][w-ygn][a-2762][g-yagn1238]','Ossetic [i-oss][w-oss][a-325][g-osse1243]')'Northeast Iranian [i-][w-][a-][g-]')'Iranian [i-][w-][a-][g-]',('Prasuni [i-prn][w-pra][a-2333][g-pras1239]','Kalasha [i-kls][w-klh][a-1779][g-kala1372]','Khowar [i-khw][w-khw][a-1752][g-khow1242]','Kati {Afghanistan} [i-bsh][w-ktz][a-1072][g-kati1270]','Waigali [i-wbk][w-wgl][a-396][g-waig1243]')'Nuristani [i-][w-][a-][g-]')'Indo-Iranian [i-][w-][a-][g-]',(('Lithuanian [i-lit][w-lit][a-1890][g-lith1251]','Latvian [i-lav][w-lat][a-549][g-latv1249]')'Baltic [i-][w-][a-][g-]',(('Sorbian {Upper} [i-hsb][w-sou][a-2716][g-uppe1395]','Sorbian {Lower} [i-dsb][w-srl][a-2714][g-lowe1385]','Slovak [i-slk][w-svk][a-2444][g-slov1269]','Polish [i-pol][w-pol][a-2330][g-poli1260]','Polabian [i-pox][w-plb][a-2326][g-pola1255]','Slovincian [i-csb][w-ksu-svc][a-1256][g-kash1274]','Czech [i-ces][w-cze][a-1207][g-czec1258]','Kashubian [i-csb][w-ksu-svc][a-1187][g-kash1274]','Sorbian [i-sorb][w-][a-800][g-sorb1249]')'West Slavic [i-][w-][a-][g-]',('Bulgarian {Old} [i-xbo][w-][a-2859][g-bolg1250]','Serbian-Croatian [i-hrv][w-][a-2471][g-croa1245]','Slovene [i-slv][w-slo][a-2447][g-slov1268]','Macedonian [i-mkd][w-mcd][a-2024][g-mace1250]','Bosnian [i-bos][w-bos][a-1407][g-bosn1245]','Bulgarian [i-bul][w-bul][a-678][g-bulg1262]')'South Slavic [i-][w-][a-][g-]',('Russian {Old} [i-orv][w-][a-2858][g-oldr1238]','Ukrainian [i-ukr][w-ukr][a-2660][g-ukra1253]','Belorussian [i-bel][w-blr][a-2389][g-bela1254]','Russian [i-rus][w-rus][a-340][g-russ1263]')'East Slavic [i-][w-][a-][g-]')'Slavic [i-][w-][a-][g-]')'Balto-Slavic [i-][w-][a-][g-]',(('Gothic [i-got][w-][a-2832][g-goth1244]')'East Germanic [i-][w-][a-][g-]',('Jutish [i-jut][w-][a-3001][g-juti1236]','Old Norse [i-non][w-][a-2856][g-oldn1244]','Swedish {Vasterbotten} [i-swe][w-swe-swv][a-1415][g-swed1254]','Danish [i-dan][w-dsh][a-1375][g-dani1285]','Dalska [i-qer][w-][a-734][g-dale1238]','Shetland Norn [i-nrn][w-][a-714][g-west2805]','Norwegian {Nynorsk} [i-nno][w-][a-712][g-norw1258]','Norwegian {Bokmål} [i-nob][w-nor][a-711][g-norw1259]','Faroese [i-fao][w-far][a-710][g-faro1244]','Swedish [i-swe][w-swe-swv][a-677][g-swed1254]','Icelandic [i-isl][w-ice][a-110][g-icel1247]')'North Germanic [i-][w-][a-][g-]',('Old Saxian [i-osx][w-][a-2855][g-olds1250]','High German {Old} [i-goh][w-][a-2854][g-oldh1241]','Low German {Old} [i-nds][w-lge][a-2853][g-nort2627]','English {Old} [i-ang][w-][a-2833][g-olde1238]','German {Westphalian} [i-wep][w-gwe][a-2717][g-west2356]','Dutch {Zeeuws} [i-nld][w-dbr-dli-dut][a-2693][g-dutc1256]','Low German [i-pdt][w-][a-2506][g-plau1238]','Luxemburgeois [i-ltz][w-lux][a-1921][g-luxe1241]','German {Ripuarian} [i-ksh][w-grp][a-1795][g-kols1241]','Yiddish {Lodz} [i-ydd][w-ydb-ydl-ylt][a-1448][g-east2295]','Yiddish {Lithuanian} [i-ydd][w-ydb-ydl-ylt][a-1447][g-east2295]','Yiddish {Bessarabian} [i-ydd][w-ydb-ydl-ylt][a-1446][g-east2295]','Dutch [i-nld][w-dbr-dli-dut][a-1440][g-dutc1256]','German {Zurich} [i-gsw][w-alt-gbe-gos-gpz-gtg-gzu][a-1310][g-swis1247]','German {Thurgau} [i-gsw][w-alt-gbe-gos-gpz-gtg-gzu][a-1309][g-swis1247]','German {Ostschweiz} [i-gsw][w-alt-gbe-gos-gpz-gtg-gzu][a-1308][g-swis1247]','German {Bern} [i-gsw][w-alt-gbe-gos-gpz-gtg-gzu][a-1307][g-swis1247]','German {Appenzell} [i-gsw][w-alt-gbe-gos-gpz-gtg-gzu][a-1306][g-swis1247]','Alsatian [i-gsw][w-alt-gbe-gos-gpz-gtg-gzu][a-1305][g-swis1247]','German {Timisoara} [i-deu][w-gbl-ger-gha-gma-gth-gti][a-1299][g-stan1295]','German {Thuringian} [i-deu][w-gbl-ger-gha-gma-gth-gti][a-1298][g-stan1295]','German {Mansfeldisch} [i-deu][w-gbl-ger-gha-gma-gth-gti][a-1297][g-stan1295]','German {Hannover} [i-deu][w-gbl-ger-gha-gma-gth-gti][a-1296][g-stan1295]','German {Berlin} [i-deu][w-gbl-ger-gha-gma-gth-gti][a-1295][g-stan1295]','Dutch {Limburg} [i-nld][w-dbr-dli-dut][a-1271][g-dutc1256]','Dutch {Brabantic} [i-nld][w-dbr-dli-dut][a-1270][g-dutc1256]','German {Viennese} [i-bar][w-gau-gba-gvi][a-1228][g-bava1246]','German {Upper Austrian} [i-bar][w-gau-gba-gvi][a-1227][g-bava1246]','German {Bavarian} [i-bar][w-gau-gba-gvi][a-963][g-bava1246]','Afrikaans [i-afr][w-afr][a-844][g-afri1274]','Yiddish [i-ydd][w-ydb-ydl-ylt][a-814][g-east2295]',('Frisian {Old} [i-ofs][w-][a-2857][g-oldf1241]','Frisian {Eastern} [i-frs][w-fea-fri][a-1500][g-east2288]','Frisian {North} [i-frr][w-fno][a-1499][g-nort2626]','Frisian {Western} [i-fry][w-frw][a-1498][g-west2354]','{Frisian} [i-fris][w-][a-766][g-fris1239]')'Frisian [i-][w-][a-][g-]','German [i-deu][w-gbl-ger-gha-gma-gth-gti][a-87][g-stan1295]','English [i-eng][w-eng][a-74][g-stan1293]')'West Germanic [i-][w-][a-][g-]')'Germanic [i-][w-][a-][g-]',((('Greek {Ancient} [i-grc][w-][a-2831][g-anci1242]')'Ancient Greek [i-][w-][a-][g-]','Greek {Cypriot} [i-ell][w-gcy-grk][a-1304][g-mode1248]','Greek {modern} [i-ell][w-gcy-grk][a-464][g-mode1248]')'Greek [i-][w-][a-][g-]',('Armenian {Iranian} [i-hye][w-arm-arw-arz][a-1224][g-nucl1235]','Armenian {Western} [i-hye][w-arm-arw-arz][a-610][g-nucl1235]','Armenian {Eastern} [i-hye][w-arm-arw-arz][a-25][g-nucl1235]')'Armenian [i-][w-][a-][g-]')'Greek-Armenian [i-][w-][a-][g-]',(('Irish {Old} [i-sga][w-][a-3213][g-oldi1245]','Welsh [i-cym][w-wec-wel][a-2726][g-wels1247]','Manx [i-glv][w-mnx][a-2014][g-manx1243]','Irish {Munster} [i-gle][w-ird-iri-irm][a-1301][g-iris1253]','Irish {Donegal} [i-gle][w-ird-iri-irm][a-1300][g-iris1253]','Cornish [i-cor][w-crn][a-1183][g-corn1251]','Breton [i-bre][w-bre][a-1067][g-bret1244]','Scottish Gaelic [i-gla][w-gae][a-715][g-scot1245]','Irish [i-gle][w-ird-iri-irm][a-435][g-iris1253]')'Celtic [i-][w-][a-][g-]',('Catalan {Balearic} [i-cat][w-ctl][a-3024][g-stan1289]','Corsican [i-cos][w-][a-3003][g-cors1241]','French {Cajun} [i-fra][w-fre][a-2898][g-stan1290]','Sicilian [i-scn][w-][a-2894][g-sici1248]','Latin [i-lat][w-][a-2893][g-lati1261]','Ladino [i-lad][w-lno][a-2465][g-ladi1251]','Romansch [i-roh][w-rmc-rsc-rsm-rsu][a-2368][g-roma1326]','Provencal [i-frp][w-][a-2335][g-fran1260]','Italian {Turinese} [i-ita][w-ifi-ita][a-2311][g-ital1282]','Italian {Napolitanian} [i-ita][w-ifi-ita][a-2197][g-ital1282]','Occitan [i-oci][w-occ-pro][a-1904][g-occi1239]','Ladin [i-lld][w-ldn][a-1895][g-ladi1250]','Italian {Genoa} [i-ita][w-ifi-ita][a-1886][g-ital1282]','Galician [i-glg][w-glc][a-1550][g-gali1258]','Italian {Bologna} [i-ita][w-ifi-ita][a-1471][g-ital1282]','Spanish {Canary Islands} [i-spa][w-spa-spc][a-1406][g-stan1288]','Moldavian [i-ron][w-mol-rom][a-1398][g-roma1327]','Romansch {Sursilvan} [i-roh][w-rmc-rsc-rsm-rsu][a-1391][g-roma1326]','Romansch {Surmeiran} [i-roh][w-rmc-rsc-rsm-rsu][a-1390][g-roma1326]','Romansch {Scharans} [i-roh][w-rmc-rsc-rsm-rsu][a-1389][g-roma1326]','Italian {Fiorentino} [i-ita][w-ifi-ita][a-1328][g-ital1282]','Asturian [i-ast][w-ast][a-936][g-astu1245]','Sardinian [i-srd][w-][a-727][g-sard1257]','Catalan {Standard} [i-cat][w-ctl][a-726][g-stan1289]','Italian [i-ita][w-ifi-ita][a-725][g-ital1282]','Romanian [i-ron][w-mol-rom][a-683][g-roma1327]','Portuguese [i-por][w-por][a-609][g-port1283]','Spanish [i-spa][w-spa-spc][a-569][g-stan1288]','French {colloquial} [i-fra][w-fre][a-79][g-stan1290]')'Italic [i-][w-][a-][g-]')'Italic-Celtic [i-][w-][a-][g-]',('Tocharian [i-tokh][w-][a-301][g-tokh1241]')'Tocharian [i-][w-][a-][g-]',('Hittite [i-hit][w-][a-100][g-hitt1242]')'Anatolian [i-][w-][a-][g-]')'Indo-European [i-][w-][a-][g-]');
Nakh-Daghestanian	((((('Avar {Chadakolob} [i-ava][w-ava][a-2960][g-avar1256]','Avar [i-ava][w-ava][a-942][g-avar1256]')'Avar [i-][w-][a-][g-]',('Akhvakh {Northern} [i-akv][w-axv][a-2962][g-akhv1239]','Botlikh [i-bph][w-][a-2946][g-botl1242]','Tindi [i-tin][w-tnd][a-2572][g-tind1238]','Bagwalal [i-kva][w-bgv][a-1840][g-bagv1239]','Karata [i-kpt][w-krt][a-1807][g-kara1474]','Godoberi [i-gdo][w-god][a-1531][g-ghod1238]','Chamalal [i-cji][w-chm][a-1149][g-cham1309]','Andi [i-ani][w-anx][a-895][g-andi1255]','Akhvakh [i-akv][w-axv][a-872][g-akhv1239]')'Andic [i-][w-][a-][g-]')'Avar-Andic [i-][w-][a-][g-]',('Khwarshi [i-khv][w-khv][a-1751][g-khva1239]','Bezhta [i-kap][w-bez][a-1700][g-bezh1248]','Hinuq [i-gin][w-hnk][a-1542][g-hinu1240]','Tsez [i-ddo][w-tsz][a-1263][g-dido1241]','Hunzib [i-huz][w-hzb][a-530][g-hunz1247]')'Tsezic [i-][w-][a-][g-]',('Lak [i-lbe][w-lak][a-155][g-lakk1252]')'Lak [i-][w-][a-][g-]',('Dargi {Kaitag} [i-dar][w-drg][a-2967][g-darg1241]','Dargi {Urakhi} [i-dar][w-drg][a-2950][g-darg1241]','Dargi {Icari} [i-dar][w-drg][a-2949][g-darg1241]','Dargi {Mehweb} [i-dar][w-drg][a-2948][g-darg1241]','Dargi {Chirag} [i-dar][w-drg][a-2947][g-darg1241]','Dargi {standard} [i-dar][w-drg][a-2826][g-darg1241]','Dargi {Kubachi} [i-dar][w-drg][a-145][g-darg1241]')'Dargic [i-][w-][a-][g-]',(('Archi [i-aqc][w-arc][a-917][g-arch1244]')'Archi [i-][w-][a-][g-]',(('Tsakhur [i-tkr][w-tsa][a-2577][g-tsak1249]','Rutul [i-rut][w-rut][a-2388][g-rutu1240]')'Eastern Samurian [i-][w-][a-][g-]',('Kryz [i-kry][w-krz][a-1816][g-kryt1240]','Budukh [i-bdk][w-bdk][a-987][g-budu1248]')'Southern Samurian [i-][w-][a-][g-]',('Tabasaran {Northern| Djubek} [i-][w-][a-3208][g-taba1259]','Agul [i-agx][w-agl][a-2828][g-aghu1253]','Tabasaran [i-tab][w-tbs][a-2511][g-taba1259]','Aghul [i-agx][w-agl][a-856][g-aghu1253]','Lezgi [i-lez][w-lez][a-162][g-lezg1247]')'Western Samurian [i-][w-][a-][g-]')'Samurian {core Lezgian} [i-][w-][a-][g-]',('Udi [i-udi][w-udi][a-389][g-udii1243]')'Udi [i-][w-][a-][g-]')'Lezgian [i-][w-][a-][g-]',('Xinalug [i-kjj][w-khi][a-413][g-khin1240]')'Xinalug [i-][w-][a-][g-]')'Daghestanian [i-][w-][a-][g-]',(('Tsova-Tush [i-bbl][w-ttu][a-970][g-bats1242]')'Tsova-Tush [i-][w-][a-][g-]',('Chechen [i-che][w-chc][a-49][g-chec1245]','Ingush [i-inh][w-ing][a-114][g-ingu1240]')'Vainakh [i-][w-][a-][g-]')'Nakh [i-][w-][a-][g-]')'Nakh-Daghestanian [i-][w-][a-][g-]');
West Caucasian	(((((('Adyghe {Temirgoy} [i-ady][w-adt-ady-ash][a-1212][g-adyg1241]','Adyghe {Shapsugh} [i-ady][w-adt-ady-ash][a-1211][g-adyg1241]','Adyghe {Abzakh} [i-ady][w-adt-ady-ash][a-1210][g-adyg1241]','Circassian {East} [i-kbd][w-kab][a-675][g-kaba1278]','Circassian {West} [i-ady][w-adt-ady-ash][a-458][g-adyg1241]')'Circassian [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Circassian [i-][w-][a-][g-]',('Ubykh [i-uby][w-uby][a-2656][g-ubyk1235]',((('Abaza [i-abq][w-abz][a-824][g-abaz1241]','Abkhaz [i-abk][w-abk][a-7][g-abkh1244]')'Abkhaz-Abaza [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Abkhazian-Ubykh [i-][w-][a-][g-]')'West Caucasian [i-][w-][a-][g-]');
Uralic	(((((('Mari {Hill} [i-mrj][w-mah][a-2078][g-west2392]','Mari {Meadow} [i-mhr][w-mme][a-1928][g-east2328]','Mari [i-chm][w-][a-608][g-mari1278]')'Maric [i-][w-][a-][g-]',('Votic [i-vot][w-vot][a-2696][g-voti1245]','Veps [i-vep][w-vep][a-2689][g-veps1250]','Mordvin {Erzya} [i-myv][w-moe][a-2120][g-erzy1239]','Mordvin {Moksha} [i-mdf][w-mmo][a-1957][g-moks1248]','Liv [i-liv][w-liv][a-1891][g-livv1244]','Karelian [i-krl][w-krl][a-1814][g-kare1335]','Izhor [i-izh][w-izh][a-1666][g-ingr1248]','Estonian [i-est][w-est][a-1480][g-esto1258]','Saami {Kildin} [i-sjd][w-ski][a-709][g-kild1236]','Saami {Akkala} [i-sia][w-][a-708][g-akka1237]','Saami {Ter} [i-sjt][w-][a-707][g-ters1235]','Saami {Inari} [i-smn][w-][a-706][g-inar1241]','Saami {Skolt} [i-sms][w-][a-705][g-skol1241]','Saami {Ume} [i-sju][w-][a-704][g-umes1235]','Saami {Pite} [i-sje][w-][a-703][g-pite1240]','Saami {Lule} [i-smj][w-][a-702][g-lule1254]','Saami {South} [i-sma][w-scs][a-701][g-sout2674]','Saami {North} [i-sme][w-sno][a-700][g-nort2671]','Finnish [i-fin][w-fin][a-78][g-finn1318]')'Finno-Saamic [i-][w-][a-][g-]')'Finno-Volgaic [i-][w-][a-][g-]',('Yazva [i-kpv][w-kzy-yzv][a-1350][g-komi1268]','Komi {Permyak} [i-koi][w-kop][a-717][g-komi1269]','Udmurt [i-udm][w-udm][a-679][g-udmu1245]','Komi {Zyrian} [i-kpv][w-kzy-yzv][a-139][g-komi1268]')'Permian [i-][w-][a-][g-]')'Finno-Permian [i-][w-][a-][g-]',(('Khanty [i-kca][w-kty][a-681][g-khan1273]','Mansi [i-mns][w-mns][a-680][g-mans1258]')'Ob-Ugric [i-][w-][a-][g-]','Hungarian [i-hun][w-hun][a-107][g-hung1274]')'Ugric [i-][w-][a-][g-]')'Finno-Ugric [i-][w-][a-][g-]',(('Kamass [i-xas][w-kms][a-2746][g-kama1351]')'Southern {Samoyedic} [i-][w-][a-][g-]','Selkup [i-sel][w-skp][a-2393][g-selk1253]',('Enets {Tundra} [i-enh][w-][a-3005][g-tund1254]','Nganasan [i-nio][w-nga][a-2172][g-ngan1291]','Nenets {Forest} [i-yrk][w-nen-ntu][a-716][g-nene1249]','Enets {Forest} [i-enf][w-][a-713][g-fore1265]','Nenets {Tundra} [i-yrk][w-nen-ntu][a-205][g-nene1249]')'Northern Samoyedic [i-][w-][a-][g-]')'Samoyedic [i-][w-][a-][g-]')'Uralic [i-][w-][a-][g-]');
